time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780297200,4501.55,4510.11,4500.56,4507.26,4577.019999999999,4488.170000000001,4525.344094345718,,
1780298100,4507.26,4508.37,4503.18,4503.73,4577.019999999999,4488.170000000001,4524.873024411232,,
1780299000,4503.73,4507.76,4497.79,4498.08,4577.019999999999,4488.170000000001,4524.216291915098,,
1780299900,4498.08,4502.99,4492.3,4502.99,4577.019999999999,4488.170000000001,4523.423574963707,,
1780300800,4502.99,4504.4,4493.37,4495.64,4577.019999999999,4488.170000000001,4522.515830839638,,
1780301700,4495.64,4496.97,4489.96,4496.04,4577.019999999999,4488.170000000001,4521.738254730558,,
1780302600,4496.04,4500.37,4492.55,4499.9,4577.019999999999,4488.170000000001,4521.242914677727,,
1780303500,4499.9,4502.55,4495.35,4497.96,4577.019999999999,4488.170000000001,4520.717721280389,,
1780304400,4497.96,4500.69,4497.37,4499.59,4577.019999999999,4488.170000000001,4520.375459138595,,
1780305300,4499.59,4506.33,4496.27,4496.31,4577.019999999999,4488.170000000001,4519.9548014737165,,
1780306200,4496.31,4499.23,4489.01,4498.18,4577.019999999999,4488.170000000001,4519.309632911108,,
1780307100,4498.18,4498.32,4493.67,4495.78,4577.019999999999,4488.170000000001,4518.875609563958,,
1780308000,4495.78,4502.04,4495.73,4501.68,4577.019999999999,4488.170000000001,4518.607912371957,,
1780308900,4501.68,4503.35,4496.08,4500.79,4577.019999999999,4488.170000000001,4518.333538757059,,
1780309800,4500.79,4507.35,4500.4,4505.89,4577.019999999999,4488.170000000001,4518.114911093391,,
1780310700,4505.89,4510.97,4502.42,4503.85,4577.019999999999,4488.170000000001,4517.9051004515795,,
1780311600,4503.85,4506.7,4499.76,4504.88,4577.019999999999,4488.170000000001,4517.6443269977735,,
1780312500,4504.88,4512.9,4503.99,4510.62,4577.019999999999,4488.170000000001,4517.5100595859685,,
1780313400,4510.62,4512.21,4506.16,4507.04,4577.019999999999,4488.170000000001,4517.377361772985,,
1780314300,4507.04,4509.72,4505.4,4505.73,4577.019999999999,4488.170000000001,4517.247019350705,,
1780315200,4505.73,4509.57,4502.96,4503.31,4577.019999999999,4488.170000000001,4517.051596374839,,
1780316100,4503.31,4507.78,4497.34,4505.61,4577.019999999999,4488.170000000001,4516.7237984153535,,
1780317000,4505.61,4508.22,4497.68,4507.32,4577.019999999999,4488.170000000001,4516.410669580047,,
1780317900,4507.32,4510.35,4498.5,4502.01,4577.019999999999,4488.170000000001,4516.103001328243,,
1780318800,4502.01,4503.86,4471.94,4483.97,4577.019999999999,4488.170000000001,4513.991359339998,,
1780319700,4483.97,4489.56,4462.31,4464.85,4577.019999999999,4488.170000000001,4510.756984079742,,
1780320600,4464.85,4478.68,4458.91,4466.84,4577.019999999999,4488.170000000001,4507.607356470789,,
